is_ares;code;title_en;title_fr
;0888;Agriculture, forestry, fisheries, veterinary, inter-disciplinary programmes;Cursus qualifiants interdisciplinaires en agriculture, sylviculture, pêche et vétérinaire
ARES;0899;Agriculture, forestry, fisheries and veterinary;Agriculture, sylviculture et halieutique et sciences vétérinaires
;0910;Health, not further defined;Santé, non défini précisément
ARES;0911;Dental studies;Études dentaires
ARES;0912;Medicine;Médecine
;0913;Nursing and midwifery;Soins infirmiers et formation de sages-femmes
;0914;Medical diagnostic and treatment technology;Diagnostic médical et technologie de traitement
ARES;0915;Therapy and rehabilitation;Thérapie et rééducation
ARES;0916;Pharmacy;Pharmacie
;0917;Traditional and complementary medicine and therapy;Médecine et thérapies traditionnelles et complémentaires
ARES;0919;Health;Santé
;0920;Welfare, not further defined;Bien-être, non défini précisément
;0921;Care of the elderly and of disabled adults;Soins gérontologiques et aux adultes handicapés
;0922;Child care and youth services;Soins aux enfants et à la jeunesse
ARES;0923;Social work and counselling;Travail social et orientation
;0929;Welfare, not elsewhere classified;Bien-être, non classé ailleurs
;0988;Health and Welfare, inter-disciplinary programmes;Santé et bien-être, programmes interdisciplinaire
;1010;Personal services, not further defined;Services à la personne, non défini précisément
;1011;Domestic services;Services domestiques
;1012;Hair and beauty services;Services de soins de beauté et de coiffure
;1013;Hotel, restaurants and catering;Hôtellerie et services de restauration
ARES;1014;Sports;Sports
;1015;Travel, tourism and leisure;Voyage, tourisme et loisirs
;1019;Personal services, not elsewhere classified;Services à la personne, non classé ailleurs
;1020;Hygiene and occupational health services, not further defined;Hygiène et santé au travail
;1021;Community sanitation;Salubrité publique
ARES;1022;Occupational health and safety;Santé et sécurité au travail
;1029;Hygiene and occupational health services, not elsewhere classified;Hygiène et santé au travail, non classé ailleurs
;1030;Security services, not further defined;Services de sûreté, non défini précisément
;1031;Military and defence;Sécurité militaire et défense
;1032;Protection of persons and property;Protection des biens et des personnes
;1039;Security services, not elsewhere classified;Services de sûreté, non classé ailleurs
;1041;Transport services;Services de transport
;1049;Transport services, not elsewhere classified;Services de transport, non classé ailleurs
;1088;Services, inter-disciplinary programmes;Service, programmes interdisciplinaires
